(-462.0, 8.0, -462.0, 1869.0)
(77.0, 13.0, 77.0, 1864.0)
(-469.0, 1646.0, 701.0, 1646.0)
(-467.0, 1723.0, 701.0, 1723.0)
(-391.0, 7.0, -391.0, 1864.0)
(153.0, 13.0, 164.0, 1865.0)
(243.0, 19.0, 243.0, 1867.0)
(-466.0, 1802.0, 701.0, 1802.0)
(550.0, 13.0, 550.0, 1852.0)
(640.0, 12.0, 640.0, 1859.0)
(-313.0, 9.0, -313.0, 1871.0)
(-232.0, 6.0, -232.0, 1871.0)
(-153.0, 6.0, -153.0, 1867.0)
(-78.0, 5.0, -78.0, 1863.0)
(2.0, 8.0, 2.0, 1863.0)
(318.0, 11.0, 318.0, 1867.0)
(395.0, 12.0, 395.0, 1862.0)
(470.0, 9.0, 470.0, 1861.0)
(-461.0, 79.0, 695.0, 79.0)
(-465.0, 160.0, 699.0, 160.0)
(-466.0, 234.0, 689.0, 234.0)
(-464.0, 309.0, 690.0, 309.0)
(-472.0, 391.0, 681.0, 391.0)
(-467.0, 475.0, 701.0, 475.0)
(-464.0, 544.0, 699.0, 544.0)
(-467.0, 627.0, 697.0, 627.0)
(-466.0, 705.0, 701.0, 705.0)
(-469.0, 784.0, 701.0, 784.0)
(-465.0, 860.0, 701.0, 860.0)
(-463.0, 940.0, 699.0, 940.0)
(-462.0, 1016.0, 697.0, 1016.0)
(-465.0, 1099.0, 701.0, 1099.0)
(-463.0, 1177.0, 701.0, 1177.0)
(-461.0, 1252.0, 696.0, 1252.0)
(-464.0, 1331.0, 699.0, 1331.0)
(-464.0, 1412.0, 701.0, 1412.0)
(-466.0, 1490.0, 701.0, 1490.0)
(-466.0, 1571.0, 701.0, 1571.0)
